0.27053,0.269711,0.384212,0,0.78612,1
0.254177,0.252587,0.390472,0.0704397,0.829419,0.999933
0.13011,0.129861,0.10122,0.27427,0.662007,0.999441
0.253111,0.251873,0.143298,0.317576,0.795546,0.999933
0.271241,0.268998,0.27068,0.104982,0.907673,1
0.0597227,0.058152,0.0605755,0.321339,0.752779,0.999146
0,0,0.131743,0.277618,0.574539,0.998914
0.0540348,0.052087,0.254635,0.1184,0.833567,0.999127
0.213651,0.211559,0.331075,0.16741,0.88567,0.99977
0.224316,0.222619,0.248957,0.158953,0.852443,0.999815
0.399573,0.398502,0.287799,0.199324,0.856332,1.00052
0.582652,0.581877,0.196418,0.0814578,0.90396,1.00126
0.669392,0.667856,0.924283,1,1,1.00161
1,1,1,0.0603004,0.979875,1.00295
0.885531,0.88655,0,0.343273,0.804488,1.00249
0.713829,0.72137,0.0825215,0.3413,0,1.00183
0.622823,0.627185,0.16167,0.194839,0.33192,1.00144
0.527551,0.526222,0.146667,0.307852,0.92115,1.00104
0.509776,0.508384,0.165473,0.306115,0.947086,1.00097
0.597227,0.596504,0.213852,0.293986,0.877471,1.00132
